q,category,reverse,control_type,question_type,options
האם אי פעם גנבת משהו מהעבודה?,theft,FALSE,none,scale,
האם לקחת פריט שלא שייך לך ממקום העבודה?,theft,FALSE,main_control,scale,
האם כל הציוד שיש לך בבית הגיע בדרך חוקית לחלוטין?,theft,TRUE,main_control,scale,
האם אי פעם הוצאת ציוד ממקום עבודה בלי רשות?,theft,FALSE,none,scale,
האם אי פעם החזרת ציוד שלקחת מהעבודה בטעות?,theft,TRUE,none,scale,
האם אי פעם לקחת משהו קטן מהעבודה כי חשבת שזה לא משנה?,theft,FALSE,none,scale,
האם כל החפצים שברשותך נרכשו בכספך או שניתנו לך באופן חוקי?,theft,TRUE,main_control,scale,
האם אי פעם השתמשת בציוד של המעסיק לצרכים אישיים בלי אישור?,theft,FALSE,none,scale,
האם אי פעם העתקת במבחן או בחינה?,academic,FALSE,none,scale,
האם אי פעם עזרת למישהו אחר להעתיק במבחן?,academic,FALSE,none,scale,
האם תמיד כתבת את כל העבודות שלך בעצמך בלי עזרה אסורה?,academic,TRUE,none,scale,
האם אי פעם שלחת מישהו אחר במקומך לבחינה?,academic,FALSE,none,scale,
האם אי פעם השתמשת בחומרים אסורים במבחן?,academic,FALSE,none,scale,
האם אי פעם הגשת עבודה שמישהו אחר כתב בשבילך?,academic,FALSE,none,scale,
האם תמיד פעלת על פי כללי היושרה האקדמית?,academic,TRUE,none,scale,
האם אי פעם שיקרת למרצה לגבי סיבת איחור בהגשת עבודה?,academic,FALSE,none,scale,
האם פוטרת אי פעם מעבודה?,termination,FALSE,none,scale,
האם אי פעם התבקשת לעזוב מקום עבודה?,termination,FALSE,none,scale,
האם תמיד עזבת מקומות עבודה בהסכמה הדדית או ביוזמתך?,termination,TRUE,none,scale,
האם אי פעם פוטרת בגלל בעיות משמעת?,termination,FALSE,none,scale,
האם אי פעם עזבת עבודה לפני תום תקופת ההודעה המוקדמת?,termination,FALSE,none,scale,
האם אי פעם פוטרת בגלל התנהגות לא הולמת?,termination,FALSE,none,scale,
האם בכל מקומות העבודה שלך עזבת ביחסים טובים?,termination,TRUE,none,scale,
האם אי פעם התפטרת כדי להימנע מפיטורים?,termination,FALSE,none,scale,
האם אי פעם הימרת סכום כסף של יותר מ-100 שקלים?,gambling,FALSE,none,scale,
האם אי פעם הימרת באינטרנט?,gambling,FALSE,none,scale,
האם אי פעם השתתפת במשחקי הימורים לא חוקיים?,gambling,FALSE,none,scale,
האם אי פעם הפסדת כסף בהימורים?,gambling,FALSE,none,scale,
האם אי פעם הימרת סכום שהיה קשה לך להרשות לעצמך להפסיד?,gambling,FALSE,none,scale,
האם אי פעם היה לך קושי לעצור את ההימורים?,gambling,FALSE,none,scale,
האם תמיד נמנעת לחלוטין מכל סוג של הימורים?,gambling,TRUE,none,scale,
האם אי פעם ביקרת בבית קזינו?,gambling,FALSE,none,scale,
האם אי פעם השתמשת בסמים בלתי חוקיים?,drugs,FALSE,none,scale,
האם אי פעם השתמשת בקנאביס או מריחואנה?,drugs,FALSE,none,scale,
האם אי פעם ניסית סמים קשים?,drugs,FALSE,none,scale,
האם אי פעם נהגת תחת השפעת אלכוהול או סמים?,drugs,FALSE,none,scale,
האם תמיד היית נקי לחלוטין מכל שימוש בסמים?,drugs,TRUE,none,scale,
האם אי פעם השתמשת בתרופות מרשם שלא נרשמו לך?,drugs,FALSE,none,scale,
האם אי פעם מכרת או העברת סמים למישהו אחר?,drugs,FALSE,none,scale,
האם אי פעם הגעת לעבודה תחת השפעת אלכוהול או סמים?,drugs,FALSE,none,scale,
האם היית מדווח על עובד שגנב מהחברה?,whistleblowing,FALSE,none,scale,
האם היית מדווח על התנהגות בלתי חוקית של קולגה?,whistleblowing,FALSE,none,scale,
האם היית שומר בסוד אם היית רואה עובד גונב?,whistleblowing,TRUE,none,scale,
האם היית מודיע למנהל אם היית רואה התנהגות לא אתית חמורה?,whistleblowing,FALSE,none,scale,
האם היית שותק אם היית רואה מישהו מזייף מסמכים?,whistleblowing,TRUE,none,scale,
האם היית מתעלם מהתנהגות מסוכנת של עמית לעבודה?,whistleblowing,TRUE,none,scale,
האם חשוב לך לדווח על עוולות גם אם זה יפגע בעמיתים?,whistleblowing,FALSE,none,scale,
"האם היית מוכן להיחשב ל""מלשין"" אם זה מונע נזק?",whistleblowing,FALSE,none,scale,
האם היית מעיר לעמית שטועה בביצוע משימה חשובה?,feedback,FALSE,none,scale,
האם היית מתקן עמית שעושה טעות שעלולה לפגוע במישהו?,feedback,FALSE,none,scale,
האם היית שותק אם היית רואה עמית עושה טעות מקצועית?,feedback,TRUE,none,scale,
האם חשוב לך לעזור לעמיתים לשפר את עצמם דרך משוב?,feedback,FALSE,none,scale,
האם היית נמנע מלהעיר הערה ביקורתית כדי לא לפגוע?,feedback,TRUE,none,scale,
האם היית מעדיף להתעלם מטעות של עמית כדי לשמור על שלום?,feedback,TRUE,none,scale,
האם היית מתקן מישהו שעושה משהו לא בטוח?,feedback,FALSE,none,scale,
האם היית מוכן לתת משוב קשה אם זה יעזור לעמית?,feedback,FALSE,none,scale,
האם אתה מעדיף לעבוד בצוות או לבד?,teamwork,FALSE,none,scale,
האם אתה תורם באופן פעיל לעבודת הצוות?,teamwork,FALSE,none,scale,
האם אתה מעדיף לעשות הכל בעצמך מאשר להסתמך על אחרים?,teamwork,TRUE,none,scale,
