q,trait,reverse
אני נהנה לארגן פגישות ואירועים עבור קבוצות גדולות.,Extraversion,FALSE
אני מעדיף לוותר על הצדק שלי בשביל השקט התעשייתי.,Agreeableness,FALSE
אני משתדל להיות סבלני גם במצבים מתסכלים,Agreeableness,False
אני אוהב לנסות מאכלים חדשים,Openness,False
אני נוטה לסיים את המטלות שלי הרבה לפני הדד-ליין.,Conscientiousness,FALSE
אני מוכן להתפשר על עקרונותיי אם זה יעזור לי להתקדם בקריירה.,Honesty-Humility,TRUE
כשאני בלחץ, קל לי מאוד להתרגז על האנשים הקרובים אליי.,Agreeableness,TRUE
אני לעולם לא אקח משהו שלא שייך לי גם אם הוא נראה נטוש.,Honesty-Humility,FALSE
אני נהנה לקרוא שירה או ספרות קלאסית בזמני הפנוי.,Openness to Experience,FALSE
אני תמיד מחזיר עודף שקיבלתי בטעות, גם אם הוא קטן.,Honesty-Humility,FALSE
אני נוטה להחמיא לקולגות שלי על הצלחות מקצועיות.,Agreeableness,FALSE
אני תמיד מקשיב לכל הצדדים בוויכוח לפני שאני מגבש דעה.,Agreeableness,FALSE
אם אגלה שעשיתי טעות שפגעה במישהו, לא אנוח עד שאתקן אותה.,Honesty-Humility,FALSE
אני נוטה להיבהל בקלות מרעשים פתאומיים או מצבים לא צפויים.,Emotionality,FALSE
אני נהנה להיות בחברת אנשים שמאתגרים אותי חברתית.,Extraversion,FALSE
אני תמיד מוכן ללמוד מאנשים שצעירים ממני או פחות מנוסים ממני.,Honesty-Humility,FALSE
אני מרגיש משיכה למוזיקה קלאסית,Openness,False
אני תמיד מוודא שסביבת הטיפול שלי נקייה ומאורגנת בצורה מופתית.,Conscientiousness,FALSE
אני נוטה להיות קפדן עם פרטים קטנים,Conscientiousness,False
אני מרגיש צורך להגן על אנשים קרובים לי,Emotionality,False
אני נוטה להרגיש חוסר ביטחון כשאני צריך לבצע משימה חדשה.,Emotionality,FALSE
אני משתדל לעבוד בצורה יעילה ומדויקת,Conscientiousness,False
אני נוטה להיות סלחן וותרן בשיפוט של אנשים אחרים.,Agreeableness,FALSE
אני מרגיש מלא ביטחון כשאני צריך ללמוד מיומנות טכנית חדשה.,Openness to Experience,FALSE
אני משתדל לעבוד בצורה מסודרת ומאורגנת,Conscientiousness,False
אני מוצא את זה קשה להסתיר את חוסר שביעות הרצון שלי מעבודה גרועה של אחרים.,Agreeableness,TRUE
אני נוטה לסלוח מהר גם לאנשים שהפגינו כלפיי חוסר מקצועיות.,Agreeableness,FALSE
אני תמיד מדבר ברוגע, גם כשאני מאוד כועס.,Agreeableness,FALSE
אני נוטה להגיב בכעס כשמישהו מעכב אותי בביצוע העבודה שלי.,Agreeableness,TRUE
אני מרגיש אנרגיה כשאני נמצא באירועים ציבוריים,Extraversion,False
אני נוטה לדאוג לגבי הבריאות של המטופלים שלי גם לאחר שעות העבודה.,Emotionality,FALSE
אני מעדיף לעבוד בשיתוף פעולה מלא מאשר לנסות להוכיח שאני טוב יותר.,Agreeableness,FALSE
אני מרגיש סיפוק רב כשאני מצליח להתאפק ולא להגיב לאנשים מעצבנים.,Agreeableness,FALSE
אני נוטה להגיב בכעס כשמישהו משבש לי את תוכנית העבודה.,Agreeableness,TRUE
אני תמיד מוודא שסביבת העבודה שלי נקייה ומאורגנת היטב.,Conscientiousness,FALSE
אני מוכן להקשיב לבעיות של אחרים במשך זמן רב.,Agreeableness,FALSE
אני מרגיש שמח כשאני משתף אחרים ברעיונותיי,Extraversion,False
אני נוטה להרגיש חרדה במצבים לא מוכרים,Emotionality,True
כשאני עושה טעות, אני מודה בה מיד ולא מנסה להסתיר אותה.,Honesty-Humility,FALSE
אני מקפיד לבדוק את תוקף הרישיון והביטוח שלי חודש מראש.,Conscientiousness,FALSE
אני לעולם לא אשתמש במידע אישי שגיליתי על מטופל לצרכים חברתיים.,Honesty-Humility,FALSE
אני תמיד דואג שהציוד שלי יהיה במצב תקין ומוכן לשימוש.,Conscientiousness,FALSE
אני תמיד משתף את החוויות שלי ברשתות החברתיות.,Extraversion,FALSE
אני מקפיד על תזונה מסודרת ושעות שינה קבועות.,Conscientiousness,FALSE
אני יכול להתמודד עם מצבים קשים ללא צורך בתמיכה רגשית מאף אחד אחר.,Emotionality,TRUE
אני מרגיש משיכה לספרות קלאסית,Openness,False
אני לעולם לא אפיץ שמועה על מישהו כדי לפגוע בו.,Honesty-Humility,FALSE
אני חושב שזה חשוב להבין את המורכבות של הכלכלה העולמית.,Openness to Experience,FALSE
אני נוטה להרגיש לחוץ כשאני צריך ללמוד תוכנת מחשב חדשה ומסובכת.,Openness to Experience,TRUE
אני אקבל הרבה הנאה מבעלות על מוצרי יוקרה יקרי ערך.,Honesty-Humility,TRUE
אני מוצא את זה משעמם לעסוק בפרטים טכניים קטנים.,Conscientiousness,TRUE
אני משתדל לתכנן את זמני בצורה יעילה,Conscientiousness,False
אני עושה מה שהבוס שלי אומר גם אם אני לא מסכים שזה הדבר הנכון לעשות.,Agreeableness,FALSE
אני מקפיד לרשום כל הוצאה כספית קטנה שלי.,Conscientiousness,FALSE
אני מרגיש בנוח לבקש עזרה מאחרים כשאני לא מסתדר לבד.,Emotionality,FALSE
אני מרגיש בטוח בעצמי כשאני מדבר מול קהל,Extraversion,False
אני תמיד בודק שהחשבון שקיבלתי במסעדה הוא מדויק.,Conscientiousness,FALSE
